"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"335864609430970368","Sat May 18 21:08:57 +0000 2013","0","Bought an Alicorn Twilight ditty bag and a Tony Tony Chopper plushie so far at Acen. :D #brony #spendallmoney","335864609430970368","","","en","The Spencer Estate ","0","0","1","https://x.com/ZapAppleBloom/status/335864609430970368","944617548","ZapAppleBloom"
"335840496800890882","Sat May 18 19:33:08 +0000 2013","1","I already feel nostalgic whenever I find Twilight-alicorn picture on DA (pretty much all the time) #bronies #mlpfim","335840496800890882","","","en","Poland","0","0","1","https://x.com/PonyBerserker/status/335840496800890882","1325752441","PonyBerserker"
"335830435064074240","Sat May 18 18:53:09 +0000 2013","0","oh it does cause Twilight Sparkle is an alicorn now and this CHANGES EVERYTHING WHOA","335830435064074240","","","en","Bara Hell","0","0","1","https://x.com/MiyuBeilschmidt/status/335830435064074240","282172200","MiyuBeilschmidt"
"335759228230844416","Sat May 18 14:10:12 +0000 2013","0","Twilight Sparkle＊Centaur Alicorn | kazeco #pixiv http://t.co/K6zYvPjwrc","335759228230844416","","","en","mtg/グラブル/ドルフロ/ブルアカ/ラテール","0","0","0","https://x.com/5enkin/status/335759228230844416","78647575","5enkin"
"335550560990277632","Sat May 18 00:21:02 +0000 2013","0","Have some crazy alicorn Twilight. -- Solar Eclipse http://t.co/uXfgDlqgDg","335550560990277632","","","en","","0","0","0","https://x.com/Bro_an_PegLLC/status/335550560990277632","1390936470","Bro_an_PegLLC"
"335535541992955904","Fri May 17 23:21:21 +0000 2013","0","Alicorn Twilight Sparkles Threads #mlp #brony http://t.co/9lVu86NK2N","335535541992955904","","","en","/twr/ Twitter Board","0","0","1","https://x.com/MindlessPone/status/335535541992955904","581267437","MindlessPone"
"335181225029402624","Fri May 17 17:15:21 +0000 2013","0","@IronDruid1 Twilight the unicorn was killed long ago by Celestia to be replaced by her robotic puppet alicorn.","335443435827916800","","","en","","0","0","0","https://x.com/Honda175/status/335443435827916800","189041592","Honda175"
"335274471130816512","Fri May 17 06:03:57 +0000 2013","0","#mlpfim Wait a minute... I just noticed Alicorn Twilight is... Taller!?!?!? I need emotional support.","335274471130816512","","","en","","0","1","1","https://x.com/MaxWhittemore/status/335274471130816512","924696896","MaxWhittemore"
"335159097815076865","Thu May 16 22:32:08 +0000 2013","1","@mlp_Parasol Hey have you heard the news about Twilight becoming an alicorn?","335160765264830464","","ParasolPony","en","Maiami City","0","1","0","https://x.com/OddEyesDuelist/status/335160765264830464","596410762","OddEyesDuelist"
"335118787898642435","Thu May 16 19:45:19 +0000 2013","0","Who is the best mane 6 pone &gt;inb4 spike Twilight [spoiler]even more so as an alicorn[/spoiler] http://t.co/GaQ3nK45Jk","335118787898642435","","","en","United Kingdom","0","0","0","https://x.com/Sylvemon/status/335118787898642435","39791369","Sylvemon"
